,annual_income,age,employment_years,debt_to_income,credit_score,credit_utilization,num_open_accounts,num_credit_inquiries,loan_amount,interest_rate,loan_term_months,home_ownership,months_since_delinquency,total_credit_lines,revolving_balance,savings_balance,payment_history_score,num_dependents,previous_defaults,monthly_installment
0,59168.67,55.0,6.4,0.1173,666.0,0.141,0,1,12305.65,9.17,24,0,0.0,3,766.73,872.15,77.9,1,0,563.14
1,28967.37,61.0,6.1,0.0999,632.0,0.4391,5,2,6816.02,9.7,36,0,11.0,7,1104.45,11000.68,64.5,0,0,218.98
2,43211.01,36.0,9.0,0.0585,762.0,0.1528,6,0,6430.67,6.88,36,1,0.0,9,628.38,3368.41,90.3,1,0,198.21
3,35957.87,26.0,3.2,0.2343,642.0,0.2662,3,2,5161.84,10.44,36,0,10.0,5,26722.82,2344.98,63.7,0,0,167.63
4,34732.54,34.0,8.7,0.3098,610.0,0.5439,5,2,8732.47,8.77,12,0,0.0,9,6697.41,1372.05,53.5,0,0,762.74
5,67836.18,43.0,3.6,0.0689,660.0,0.5486,7,1,9379.11,11.63,36,0,26.0,14,3967.58,5599.51,71.3,2,0,309.87
6,60206.13,41.0,1.9,0.3918,672.0,0.0545,11,4,44376.8,4.56,24,0,0.0,15,1385.49,1147.73,42.7,0,1,1938.14
7,61811.64,23.0,3.9,0.0686,598.0,0.5688,4,2,11149.53,8.98,48,0,0.0,8,3795.92,1342.46,58.5,1,1,277.35
8,28045.25,29.0,5.7,0.1891,733.0,0.1926,6,5,12404.03,7.65,36,0,10.0,9,2759.94,4131.49,88.3,1,0,386.7
9,58200.76,62.0,10.8,0.2035,655.0,0.0959,4,3,7152.54,5.17,36,1,20.0,7,38602.26,1164.77,60.4,1,0,214.91
10,32728.62,60.0,7.8,0.0761,681.0,0.3105,10,5,5404.27,8.96,36,0,0.0,15,1784.67,5111.17,46.3,2,1,171.75
11,40124.53,53.0,2.5,0.1945,658.0,0.0858,7,4,18700.09,10.19,36,0,0.0,15,2269.31,930.83,77.6,0,0,605.07
12,23902.26,44.0,10.7,0.1242,749.0,0.1155,5,3,10068.79,8.6,60,1,0.0,7,2016.49,693.44,90.5,1,0,207.06
13,130904.61,59.0,3.5,0.0256,821.0,0.2446,7,0,7984.38,7.81,48,1,1.0,11,4241.72,7623.61,42.0,1,0,194.21
14,77928.1,40.0,8.1,0.4824,658.0,0.1588,4,2,16834.91,9.5,36,0,20.0,8,129663.19,626.49,71.9,0,0,539.27
15,16703.3,59.0,4.5,0.244,739.0,0.1283,5,3,7661.72,3.73,24,0,5.0,11,392.46,6173.98,72.0,3,0,331.79
16,27838.07,62.0,3.2,0.2022,561.0,0.0358,6,4,3746.84,8.48,36,1,0.0,9,17538.9,1270.95,57.0,0,0,118.24
17,56095.67,30.0,5.2,0.0491,729.0,0.1118,9,2,5937.96,14.08,36,1,0.0,10,1326.37,728.89,85.9,3,0,203.18
18,49998.82,34.0,6.2,0.1986,673.0,0.2056,2,2,8600.38,9.96,12,0,19.0,6,3572.54,1294.74,82.3,0,0,755.95
19,15053.29,35.0,4.6,0.1146,540.0,0.3206,5,6,5264.86,12.41,48,1,0.0,8,201.98,293.74,82.1,1,0,139.71
20,29849.87,45.0,2.3,0.1579,675.0,0.0624,4,5,10193.33,7.89,60,0,0.0,8,9329.28,1522.96,86.2,2,0,206.15
21,63881.79,63.0,8.6,0.1368,850.0,0.4643,4,5,7226.93,9.29,12,1,0.0,8,4764.82,4445.02,88.6,2,0,632.98
22,36054.54,38.0,3.5,0.0898,704.0,0.2641,7,2,5675.5,7.15,24,1,7.0,10,758.54,1742.68,70.8,0,0,254.49
23,44357.69,32.0,4.6,0.175,708.0,0.1303,3,2,27232.68,3.78,60,0,0.0,5,7394.8,230.29,71.3,2,0,498.83
24,24906.09,62.0,5.1,0.1414,681.0,0.1976,3,3,9275.59,8.21,36,1,0.0,11,100.85,180.77,78.3,0,0,291.56
25,21024.14,56.0,15.1,0.2441,705.0,0.0336,6,3,11560.48,11.72,36,0,38.0,10,2265.26,245.78,73.6,0,0,382.43
26,36242.09,36.0,2.7,0.2856,709.0,0.5012,4,1,17160.21,6.97,24,0,0.0,4,4727.84,4764.21,76.4,0,0,768.07
27,29331.08,32.0,2.2,0.1391,607.0,0.3315,6,1,13512.5,8.63,48,1,0.0,7,303.44,2544.69,89.9,2,0,333.89
28,50673.59,49.0,6.5,0.2366,751.0,0.0708,2,3,9865.63,8.87,36,0,98.0,3,34292.36,1029.13,70.3,0,0,313.13
